Year,United States,China,Japan,Australia,France,Netherlands,Great Britain,South Korea,Italy,Germany,New Zealand,Canada,Uzbekistan,Hungary,Spain,Sweden
1984,174,32,32,24,28,13,37,19,32,0,11,44,0,0,5,19
1988,94,28,14,14,16,9,24,33,14,0,13,10,0,23,4,11
1992,108,54,22,27,29,15,20,29,19,82,10,18,0,30,22,12
1996,101,50,14,41,37,19,15,27,35,65,6,22,2,21,17,8
2000,93,58,18,58,38,25,28,28,34,56,4,14,4,17,11,12
2004,101,63,37,50,33,22,30,30,32,49,5,12,5,17,20,7
2008,112,100,25,46,43,16,51,32,27,41,9,20,4,10,19,5
2012,104,92,38,35,35,20,65,31,28,44,13,18,3,18,20,8
2016,121,70,41,29,42,19,67,21,28,42,18,22,13,15,17,11
2020,113,89,58,46,33,36,64,20,40,37,20,24,5,20,17,9
2024,126,91,45,53,64,34,65,32,40,33,20,27,13,19,18,11
2028,137,95,58,71,64,47,66,21,33,31,25,23,11,25,20,10
